loan_id,member_id,loan_type,original_amount,interest_rate,term_months,origination_date,loan_status
LN-0001411,MBR-000797,Home Equity,78137.14,13.39,120,2018-03-19,Current
LN-0001412,MBR-000517,Mortgage,275740.06,3.37,240,2021-10-16,Current
LN-0001413,MBR-000763,Mortgage,175463.32,3.33,180,2023-08-09,Current
LN-0001414,MBR-000840,Auto Loan,47292.81,8.38,72,2019-12-28,Current
LN-0001415,MBR-000750,Mortgage,213525.61,5.52,180,2020-05-04,Default
LN-0001416,MBR-000150,Mortgage,161421.76,6.66,360,2018-04-07,Paid Off
LN-0001417,MBR-001007,Credit Card,3283.83,12.31,0,2023-07-01,Default
LN-0001418,MBR-000154,Auto Loan,42758.0,8.35,36,2021-06-14,Current
LN-0001419,MBR-000321,Credit Card,4292.45,11.98,0,2018-12-23,Current
LN-0001420,MBR-000788,Credit Card,13657.75,7.13,0,2024-10-16,Current
LN-0001421,MBR-001169,Student Loan,30697.03,16.63,120,2023-12-13,Delinquent
LN-0001422,MBR-000781,Personal Loan,6547.99,10.06,12,2024-07-20,Delinquent
LN-0001423,MBR-000939,Auto Loan,25416.5,13.28,36,2022-01-30,Current
LN-0001424,MBR-000547,Student Loan,51533.74,10.3,240,2022-01-31,Current
LN-0001425,MBR-001002,Personal Loan,3845.08,13.38,36,2019-01-28,Default
LN-0001426,MBR-000375,Home Equity,129756.43,3.57,180,2022-10-03,Current
LN-0001427,MBR-001128,Personal Loan,2508.08,16.95,36,2024-10-13,Current
LN-0001428,MBR-000981,Credit Card,12358.94,15.54,0,2020-05-20,Paid Off
LN-0001429,MBR-000557,Credit Card,1240.38,9.05,0,2023-07-01,Current
LN-0001430,MBR-000719,Mortgage,379135.85,6.59,360,2021-10-03,Current
LN-0001431,MBR-001195,Mortgage,439805.37,6.35,240,2021-12-19,Default
LN-0001432,MBR-000518,Credit Card,9892.73,13.9,0,2020-11-03,Current
LN-0001433,MBR-000012,Mortgage,180970.66,6.74,360,2022-06-20,Current
LN-0001434,MBR-000056,Auto Loan,53869.58,8.57,36,2023-05-29,Current
LN-0001435,MBR-001093,Personal Loan,10669.93,6.23,12,2020-10-11,Current
LN-0001436,MBR-000567,credit card,923.05,6.71,0,2018-08-15,Paid Off
LN-0001437,MBR-000792,Auto Loan,54215.48,13.74,36,2021-07-11,Current
LN-0001438,MBR-001058,Auto Loan,38378.89,12.66,72,2020-04-23,Current
LN-0001439,MBR-000875,Auto Loan,64056.63,14.94,72,2022-11-04,Delinquent
LN-0001440,MBR-000995,Auto Loan,52676.05,12.48,60,2019-04-02,Current
LN-0001441,MBR-001179,Auto Loan,54495.84,4.27,36,2018-03-28,Current
LN-0001442,MBR-000226,Home Equity,95503.81,5.17,120,2023-10-22,Current
LN-0001443,MBR-000415,Mortgage,448462.64,6.88,180,2022-10-16,Current
LN-0001444,MBR-000761,Auto Loan,61949.38,11.16,48,2021-10-30,Current
LN-0001445,MBR-000376,Personal Loan,5457.51,10.28,48,2023-12-03,Current
LN-0001446,MBR-001110,Home Equity,31166.27,5.82,60,2020-09-06,Paid Off
LN-0001447,MBR-000225,Auto Loan,36043.1,7.18,60,2019-02-24,Delinquent
LN-0001448,MBR-000843,Student Loan,-38442.07,8.35,240,2023-08-31,Delinquent
LN-0001449,MBR-000829,Credit Card,5768.8,16.35,0,2020-12-30,Current
LN-0001450,MBR-001102,Home Equity,55687.75,11.2,120,2023-09-30,Paid Off
LN-0001451,MBR-000720,Personal Loan,11388.63,16.06,36,2018-01-30,Default
LN-0001452,MBR-001053,Auto Loan,8563.78,5.21,72,2024-03-19,Default
LN-0001453,MBR-000525,Auto Loan,62048.72,9.71,60,2023-08-21,Delinquent
LN-0001454,MBR-001129,Mortgage,291838.31,4.42,360,2024-08-03,Current
LN-0001455,MBR-000945,Mortgage,217544.75,3.02,360,2021-11-02,Current
LN-0001456,MBR-000741,Auto Loan,55504.09,12.91,48,2024-10-22,Paid Off
LN-0001457,MBR-000044,student loan,66689.07,5.89,120,2022-01-07,Default
LN-0001458,MBR-000502,Auto Loan,42042.8,12.1,60,2021-02-01,Delinquent
LN-0001459,MBR-000427,Student Loan,6931.7,5.62,240,2024-10-31,Current
LN-0001460,MBR-000046,Auto Loan,19427.24,13.13,48,2018-06-09,Delinquent
LN-0001461,MBR-000114,Personal Loan,21987.67,14.84,12,2024-05-09,Current
LN-0001462,MBR-001087,Auto Loan,33552.39,16.77,60,2022-12-22,Delinquent
LN-0001463,MBR-001077,Student Loan,16277.07,15.55,180,2021-09-03,Current
LN-0001464,MBR-000322,Personal Loan,21629.51,6.22,24,2022-11-24,Paid Off
LN-0001465,MBR-000202,Mortgage,148326.38,4.63,360,2023-03-28,Delinquent
LN-0001466,MBR-000163,Personal Loan,9122.75,4.09,12,2023-10-04,Current
LN-0001467,MBR-000673,Credit Card,4296.13,10.78,0,2019-02-28,Delinquent
LN-0001468,MBR-001050,Mortgage,296525.34,3.52,360,2021-08-25,Delinquent
LN-0001469,MBR-000834,Home Equity,20544.59,16.8,60,2022-12-23,Paid Off
LN-0001470,MBR-000722,Mortgage,375971.64,7.2,240,2021-09-24,Current
LN-0001471,MBR-000275,Home Equity,75295.95,14.75,120,2023-01-06,Delinquent
LN-0001472,MBR-000763,Mortgage,146570.28,4.28,360,2019-04-27,Current
LN-0001473,MBR-000509,Personal Loan,12278.49,4.06,48,2018-09-12,Delinquent
LN-0001474,MBR-000583,Mortgage,194899.65,6.1,240,2023-03-07,Paid Off
LN-0001475,MBR-000874,Auto Loan,46631.43,8.44,72,2023-06-25,Current
LN-0001476,MBR-000062,Student Loan,63239.24,9.75,180,2018-03-27,Current
LN-0001477,MBR-000314,Personal Loan,17308.96,9.26,24,2018-09-15,Paid Off
LN-0001478,MBR-000414,Auto Loan,36296.87,16.97,36,2018-08-17,Current
LN-0001479,MBR-000594,Personal Loan,15939.69,8.38,36,2022-11-18,Delinquent
LN-0001480,MBR-000440,Auto Loan,53276.92,16.95,72,2022-08-26,Current
LN-0001481,MBR-000016,Personal Loan,20284.79,11.92,12,2023-08-22,Current
LN-0001482,MBR-000182,Personal Loan,8911.1,10.34,36,2019-10-12,Current
LN-0001483,MBR-000801,Mortgage,408251.76,6.5,360,2020-09-20,Default
LN-0001484,MBR-001061,Student Loan,45974.12,12.87,120,2018-12-27,Current
LN-0001485,MBR-000161,Auto Loan,29057.17,6.47,36,2019-10-25,Current
LN-0001486,MBR-000487,Home Equity,141958.19,9.78,120,2024-08-03,Current
LN-0001487,MBR-001113,Mortgage,245592.11,3.76,360,2018-09-15,Current
LN-0001488,MBR-000922,Mortgage,358495.51,4.85,240,2022-11-06,Current
LN-0001489,MBR-000277,Home Equity,88396.48,7.84,180,2019-01-15,Current
LN-0001490,MBR-000985,Auto Loan,49492.05,9.49,60,2018-05-03,Current
LN-0001491,MBR-000341,Credit Card,9189.43,9.79,0,2022-12-17,Current
LN-0001492,MBR-001126,Personal Loan,20794.93,7.88,24,2021-06-28,Current
LN-0001493,MBR-000527,Personal Loan,15636.64,17.75,36,2020-10-18,Current
LN-0001494,MBR-000296,Auto Loan,23911.48,17.15,72,2024-07-17,Delinquent
LN-0001495,MBR-000550,Credit Card,9042.67,9.16,0,2019-05-14,Delinquent
LN-0001496,MBR-000299,Auto Loan,52010.33,12.64,48,2020-12-26,Current
LN-0001497,MBR-000958,Auto Loan,35700.31,11.59,60,2018-08-07,Paid Off
LN-0001498,MBR-001008,Student Loan,58013.31,17.85,180,2023-07-24,Current
LN-0001499,MBR-001197,Personal Loan,20201.99,16.4,48,2022-06-24,Delinquent
LN-0001500,MBR-000943,Mortgage,287800.31,3.01,240,2021-10-13,Current
LN-0001501,MBR-000981,Home Equity,50253.67,7.2,180,2020-12-17,Current
LN-0001502,MBR-000753,Personal Loan,7128.64,9.8,24,2020-10-26,Delinquent
LN-0001503,MBR-001045,Personal Loan,7001.44,13.87,36,2019-07-17,Current
LN-0001504,MBR-001081,Personal Loan,23657.36,3.81,36,2022-08-02,Current
LN-0001505,MBR-001121,Personal Loan,14042.15,12.58,24,2020-01-31,Default
LN-0001506,MBR-000867,Personal Loan,24882.48,6.2,48,2024-08-17,Delinquent
LN-0001507,MBR-001123,Auto Loan,30926.07,16.84,36,2023-07-05,Current
LN-0001508,MBR-000548,Personal Loan,22604.33,12.99,36,2024-07-05,Default
LN-0001509,MBR-000272,Personal Loan,17878.97,8.59,48,2019-01-27,Paid Off
LN-0001510,MBR-001032,Credit Card,1148.83,17.16,0,2023-06-06,Current
LN-0001511,MBR-000083,Personal Loan,1260.15,14.39,24,2019-03-22,Current
LN-0001512,MBR-000412,Credit Card,2098.35,17.98,0,2019-09-27,Current
LN-0001513,MBR-000510,Credit Card,3104.42,9.66,0,2022-06-19,Default
LN-0001514,MBR-000848,Student Loan,30481.44,3.82,120,2020-10-23,Current
LN-0001515,MBR-000285,credit card,10279.56,9.38,0,2018-08-24,Current
LN-0001516,MBR-000730,Student Loan,68409.4,,180,2024-03-02,Current
LN-0001517,MBR-000156,Credit Card,14586.33,4.71,0,2022-04-19,Current
LN-0001518,MBR-000494,Personal Loan,20097.78,11.83,24,2020-08-05,Current
LN-0001519,MBR-001194,Home Equity,145722.89,16.13,120,2021-09-17,Current
LN-0001520,MBR-000298,Credit Card,10740.82,6.79,0,2021-01-16,Current
LN-0001521,MBR-000685,Mortgage,333120.27,6.33,360,2018-04-11,Current
LN-0001522,MBR-000133,Personal Loan,8314.76,10.81,36,2019-02-08,Current
LN-0001523,MBR-000508,Auto Loan,31748.91,14.58,36,2021-07-17,Current
LN-0001524,MBR-000109,Auto Loan,54719.01,16.55,36,2022-07-20,Delinquent
LN-0001525,MBR-000301,Auto Loan,34358.06,15.51,60,2022-12-11,Current
LN-0001526,MBR-000348,Mortgage,331585.76,6.62,180,2024-05-04,Delinquent
LN-0001527,MBR-000767,Personal Loan,3602.58,8.99,48,2022-03-16,Current
LN-0001528,MBR-001153,Auto Loan,51518.0,4.5,36,2021-11-22,Delinquent
LN-0001529,MBR-001123,Auto Loan,48896.04,4.57,48,2022-03-20,Current
LN-0001530,MBR-000528,Home Equity,20826.65,8.58,180,2021-04-27,Paid Off
LN-0001531,MBR-000685,mortgage,424616.41,4.66,180,2023-07-31,Default
LN-0001532,MBR-000535,Personal Loan,21864.36,10.3,36,2022-10-09,Current
LN-0001533,MBR-000328,Personal Loan,19242.09,17.68,48,2018-09-23,Current
LN-0001534,MBR-000241,Auto Loan,42562.74,17.12,48,2022-11-21,Default
LN-0001535,MBR-001171,Auto Loan,39677.59,12.98,36,2018-07-20,Default
LN-0001536,MBR-000345,Mortgage,207548.53,6.8,360,2023-11-16,Current
LN-0001537,MBR-000174,Auto Loan,41554.17,5.44,72,2023-09-06,Current
LN-0001538,MBR-000822,Personal Loan,1676.11,10.62,24,2021-07-26,Paid Off
LN-0001539,MBR-000230,Student Loan,66307.66,5.66,180,2019-05-08,Paid Off
LN-0001540,MBR-001166,Student Loan,54717.17,15.06,240,2023-12-14,Delinquent
LN-0001541,MBR-000731,Auto Loan,34617.61,7.35,72,2023-04-21,Current
LN-0001542,MBR-001004,Home Equity,50388.93,10.01,120,2023-08-07,Current
LN-0001543,MBR-000683,Home Equity,56430.82,11.29,120,2022-05-03,Current
LN-0001544,MBR-000297,Credit Card,12714.12,12.37,0,2022-04-06,Paid Off
LN-0001545,MBR-001006,Auto Loan,13075.66,9.59,48,2020-05-13,Current
LN-0001546,MBR-001137,Personal Loan,6201.99,8.15,48,2023-12-13,Current
LN-0001547,MBR-000476,Auto Loan,56056.85,6.08,48,2018-08-07,Current
LN-0001548,MBR-000520,Personal Loan,3973.36,6.2,24,2022-07-10,Current
LN-0001549,MBR-000251,Personal Loan,14694.05,5.9,24,2019-07-17,Current
LN-0001550,MBR-000688,Student Loan,5605.62,7.04,240,2021-02-08,Delinquent
LN-0001551,MBR-000114,Personal Loan,24170.47,13.54,48,2023-05-31,Delinquent
LN-0001552,MBR-000258,Home Equity,43577.19,12.79,60,2021-12-03,Current
LN-0001553,MBR-001014,Personal Loan,21569.17,5.54,48,2019-10-09,Current
LN-0001554,MBR-000780,Mortgage,396217.96,5.03,240,2022-09-07,Current
LN-0001555,MBR-000834,Mortgage,409267.51,6.56,180,2023-11-04,Current
LN-0001556,MBR-000467,Credit Card,8898.54,,0,2019-03-11,Current
LN-0001557,MBR-000997,Credit Card,9098.57,7.28,0,2021-11-29,Current
LN-0001558,MBR-000219,Credit Card,12095.6,10.82,0,2019-04-11,Current
LN-0001559,MBR-000503,Personal Loan,24307.13,8.15,36,2023-08-22,Paid Off
LN-0001560,MBR-000077,Credit Card,4843.74,8.86,0,2019-01-14,Default
LN-0001561,MBR-000331,Personal Loan,8245.31,17.14,36,2021-03-08,Current
LN-0001562,MBR-000473,Personal Loan,7015.85,,24,2019-08-14,Delinquent
LN-0001563,MBR-000171,Credit Card,4068.74,7.78,0,2022-04-26,Current
LN-0001564,MBR-000698,Credit Card,4258.23,13.44,0,2022-09-05,Current
LN-0001565,MBR-000158,Auto Loan,40951.12,14.72,36,2022-05-22,Current
LN-0001566,MBR-000175,Home Equity,15061.43,5.97,120,2019-03-14,Current
LN-0001567,MBR-000692,Personal Loan,16946.98,4.75,36,2021-01-10,Current
LN-0001568,MBR-000026,Auto Loan,27411.01,17.14,36,2021-09-08,Paid Off
LN-0001569,MBR-000900,Mortgage,116594.45,4.68,240,2024-02-26,Current
LN-0001570,MBR-000623,Mortgage,142968.06,6.66,180,2019-02-25,Delinquent
LN-0001571,MBR-001032,Auto Loan,14279.04,3.6,36,2020-06-05,Delinquent
LN-0001572,MBR-001183,Mortgage,-294780.47,4.28,180,2022-08-16,Current
LN-0001573,MBR-000063,Auto Loan,25212.33,4.12,36,2023-09-04,Current
LN-0001574,MBR-001052,Student Loan,34325.28,8.78,180,2024-02-06,Current
LN-0001575,MBR-000256,Auto Loan,29978.35,16.36,60,2024-10-20,Paid Off
LN-0001576,MBR-001182,Auto Loan,59804.94,8.04,48,2019-04-11,Current
LN-0001577,MBR-001060,Personal Loan,4297.46,4.98,48,2023-12-26,Delinquent
LN-0001578,MBR-000514,Student Loan,77963.45,14.05,120,2020-10-28,Current
LN-0001579,MBR-000498,Student Loan,16857.38,17.93,180,2020-10-08,Paid Off
LN-0001580,MBR-001100,Personal Loan,20196.2,15.3,48,2022-04-26,Current
LN-0001581,MBR-001097,Personal Loan,17945.9,16.55,48,2023-04-09,Current
LN-0001582,MBR-001023,Personal Loan,4218.24,4.08,36,2020-01-02,Delinquent
LN-0001583,MBR-000448,Home Equity,134133.41,8.87,60,2018-03-18,Delinquent
LN-0001584,MBR-001010,Student Loan,15848.07,15.08,120,2021-11-12,Current
LN-0001585,MBR-001090,Mortgage,156726.04,3.8,240,2020-08-16,Current
LN-0001586,MBR-000212,Credit Card,2954.26,16.95,0,2022-04-11,Current
LN-0001587,MBR-000941,Mortgage,237797.35,3.1,360,2018-06-12,Current
LN-0001588,MBR-000936,Credit Card,3849.28,11.06,0,2024-06-28,Current
LN-0001589,MBR-000384,Home Equity,102858.09,8.12,120,2023-03-31,Delinquent
LN-0001590,MBR-000007,Personal Loan,9998.95,13.99,36,2024-05-08,Current
LN-0001591,MBR-000406,Credit Card,7112.99,10.82,0,2019-05-29,Delinquent
LN-0001592,MBR-001186,Personal Loan,15661.3,15.44,36,2022-01-10,Current
LN-0001593,MBR-000690,Auto Loan,54576.51,15.45,36,2021-09-03,Current
LN-0001594,MBR-000726,Auto Loan,50616.55,16.9,36,2018-04-17,Current
LN-0001595,MBR-000879,Auto Loan,51109.66,14.14,36,2021-10-04,Delinquent
LN-0001596,MBR-000292,Auto Loan,22866.45,9.59,72,2023-08-20,Delinquent
LN-0001597,MBR-000407,Credit Card,12477.86,6.0,0,2019-07-28,Current
LN-0001598,MBR-001168,Credit Card,5622.92,15.98,0,2021-08-04,Default
LN-0001599,MBR-000904,Home Equity,142978.76,9.64,120,2020-06-09,Current
LN-0001600,MBR-000216,Credit Card,14946.52,10.81,0,2020-09-13,Current
LN-0001601,MBR-001191,Credit Card,10263.32,3.88,0,2023-12-22,Current
LN-0001602,MBR-001121,Student Loan,58644.75,13.32,120,2019-06-13,Current
LN-0001603,MBR-001115,Auto Loan,10595.85,11.01,72,2018-09-14,Current
LN-0001604,MBR-000393,Auto Loan,11661.16,,72,2018-02-14,Current
LN-0001605,MBR-000638,Home Equity,49534.73,14.0,120,2021-06-05,Current
LN-0001606,MBR-000043,Auto Loan,30520.6,4.45,60,2019-03-29,Current
LN-0001607,MBR-000933,Mortgage,129268.46,6.24,180,2019-06-08,Delinquent
LN-0001608,MBR-000951,Auto Loan,12849.93,8.98,36,2023-11-12,Delinquent
LN-0001609,MBR-001136,Personal Loan,14289.42,15.81,48,2023-07-05,Current
LN-0001610,MBR-000446,Mortgage,251946.14,3.34,180,2024-10-20,Current
LN-0001611,MBR-000330,Auto Loan,36880.7,6.76,60,2022-01-19,Current
LN-0001612,MBR-001045,Credit Card,1725.17,14.18,0,2020-07-03,Current
LN-0001613,MBR-001186,Home Equity,120146.04,14.05,60,2020-10-12,Current
LN-0001614,MBR-000654,Mortgage,309332.08,7.08,180,2024-01-19,Current
LN-0001615,MBR-000741,Student Loan,67042.9,12.21,120,2024-07-18,Current
LN-0001616,MBR-000841,Auto Loan,25898.76,9.6,72,2018-02-04,Current
LN-0001617,MBR-000728,Auto Loan,39858.56,7.55,36,2021-11-19,Current
LN-0001618,MBR-000655,Auto Loan,61407.29,15.82,72,2023-10-16,Delinquent
LN-0001619,MBR-001031,Credit Card,8301.68,15.14,0,2019-07-09,Paid Off
LN-0001620,MBR-000080,Personal Loan,4356.12,13.16,36,2018-03-30,Delinquent
LN-0001621,MBR-000256,Credit Card,4778.15,,0,2022-02-12,Delinquent
LN-0001622,MBR-000195,Student Loan,6723.93,13.56,180,2024-03-10,Current
LN-0001623,MBR-000560,Auto Loan,32704.01,14.66,60,2023-08-01,Current
LN-0001624,MBR-000236,Credit Card,14705.1,10.78,0,2018-02-26,Current
LN-0001625,MBR-000585,Home Equity,45257.4,14.44,120,2020-09-27,Current
LN-0001626,MBR-001160,Student Loan,70614.67,13.03,180,2024-09-26,Delinquent
LN-0001627,MBR-000117,Auto Loan,62748.86,10.94,36,2023-03-16,Current
LN-0001628,MBR-001175,Auto Loan,31024.77,11.82,60,2023-03-29,Current
LN-0001629,MBR-000393,Auto Loan,37164.48,14.63,60,2020-09-30,Current
LN-0001630,MBR-000777,Credit Card,1905.01,14.91,0,2023-03-15,Current
LN-0001631,MBR-000504,Auto Loan,59501.12,10.17,48,2019-09-26,Current
LN-0001632,MBR-000678,Auto Loan,15870.12,4.83,48,2020-04-21,Current
LN-0001633,MBR-000233,Mortgage,420458.14,3.12,180,2018-04-24,Current
LN-0001634,MBR-001195,Auto Loan,52691.38,8.73,48,2019-12-25,Current
LN-0001635,MBR-000869,Credit Card,6847.21,17.8,0,2022-02-06,Delinquent
LN-0001636,MBR-000870,Auto Loan,55453.6,5.08,60,2024-05-27,Delinquent
LN-0001637,MBR-000175,Mortgage,394876.85,4.48,180,2022-12-02,Delinquent
LN-0001638,MBR-000823,Mortgage,346339.56,5.81,180,2023-12-27,Current
LN-0001639,MBR-000637,Student Loan,18722.93,6.28,120,2021-11-23,Current
LN-0001640,MBR-000423,Student Loan,60260.72,,240,2019-12-04,Current
LN-0001641,MBR-000648,Auto Loan,36333.24,13.15,36,2024-07-27,Delinquent
LN-0001642,MBR-000739,Auto Loan,53026.16,7.77,48,2022-01-06,Current
LN-0001643,MBR-000519,Auto Loan,59855.58,11.7,60,2024-08-02,Current
LN-0001644,MBR-000891,Auto Loan,40393.1,16.17,48,2022-05-18,Current
LN-0001645,MBR-000746,Credit Card,12133.74,10.7,0,2024-04-22,Current
LN-0001646,MBR-000043,Mortgage,131694.02,3.1,240,2018-04-10,Current
LN-0001647,MBR-000406,Mortgage,96103.67,6.4,180,2024-06-07,Default
LN-0001648,MBR-000518,Personal Loan,11568.65,5.58,24,2022-01-16,Delinquent
LN-0001649,MBR-000413,Auto Loan,30471.79,4.32,48,2022-03-03,Current
LN-0001650,MBR-001198,Auto Loan,46417.23,12.16,60,2020-12-31,Paid Off
LN-0001651,MBR-000498,Personal Loan,19872.6,10.74,36,2024-05-23,Current
LN-0001652,MBR-000726,Home Equity,62795.28,10.12,180,2019-04-21,Current
LN-0001653,MBR-000590,Home Equity,131527.57,15.11,120,2019-03-13,Current
LN-0001654,MBR-000049,Auto Loan,42182.97,6.53,48,2023-05-03,Current
LN-0001655,MBR-000063,Credit Card,4513.21,4.09,0,2021-10-09,Delinquent
LN-0001656,MBR-001034,Auto Loan,14997.87,3.73,36,2019-07-11,Delinquent
LN-0001657,MBR-000078,Personal Loan,16596.39,13.35,36,2024-08-04,Current
LN-0001658,MBR-000277,Personal Loan,23350.06,9.59,48,2021-01-22,Current
LN-0001659,MBR-000470,Credit Card,14924.3,10.12,0,2022-12-10,Current
LN-0001660,MBR-000384,Auto Loan,62635.46,5.24,36,2019-07-20,Current
LN-0001661,MBR-000397,Credit Card,9586.29,17.33,0,2024-05-20,Delinquent
LN-0001662,MBR-000444,Credit Card,1490.11,16.59,0,2020-10-15,Current
LN-0001663,MBR-001146,Auto Loan,39698.49,6.72,60,2018-07-31,Current
LN-0001664,MBR-000467,Auto Loan,15420.19,10.41,48,2021-02-01,Paid Off
LN-0001665,MBR-000328,Home Equity,76272.25,,120,2024-10-20,Current
LN-0001666,MBR-001115,Home Equity,15034.92,4.35,60,2019-12-09,Current
LN-0001667,MBR-000249,Mortgage,392749.82,7.39,240,2020-01-08,Current
LN-0001668,MBR-000078,Auto Loan,19953.19,15.29,72,2021-12-07,Current
LN-0001669,MBR-000343,Auto Loan,54685.93,11.49,36,2022-11-13,Default
LN-0001670,MBR-000689,Auto Loan,62420.39,14.15,36,2020-06-24,Paid Off
LN-0001671,MBR-001011,Mortgage,270799.51,6.52,240,2021-10-27,Delinquent
LN-0001672,MBR-001178,Credit Card,4903.08,4.12,0,2019-12-22,Paid Off
LN-0001673,MBR-000263,Personal Loan,13040.92,17.35,12,2024-01-22,Paid Off
LN-0001674,MBR-000463,Home Equity,51502.68,13.1,60,2020-11-27,Paid Off
LN-0001675,MBR-000397,Student Loan,50358.06,6.42,240,2021-03-19,Current
LN-0001676,MBR-000774,Personal Loan,24247.65,9.9,48,2024-04-27,Current
LN-0001677,MBR-000738,Mortgage,245211.9,5.79,180,2018-08-12,Current
LN-0001678,MBR-000879,Auto Loan,13223.94,9.99,48,2024-06-29,Current
LN-0001679,MBR-000108,Auto Loan,17126.14,11.84,36,2022-11-02,Delinquent
LN-0001680,MBR-000302,Student Loan,24401.02,7.08,180,2024-02-17,Current
LN-0001681,MBR-000412,Personal Loan,2638.53,10.88,48,2022-03-09,Current
LN-0001682,MBR-000286,Credit Card,12588.35,14.72,0,2019-10-14,Current
LN-0001683,MBR-000289,Personal Loan,-22384.62,17.86,12,2019-09-25,Default
LN-0001684,MBR-001037,Credit Card,5559.43,12.01,0,2020-08-16,Current
LN-0001685,MBR-000041,Auto Loan,38760.17,14.0,36,2021-09-28,Paid Off
LN-0001686,MBR-000095,Home Equity,42747.81,6.43,120,2018-10-27,Delinquent
LN-0001687,MBR-000388,Auto Loan,37388.22,9.79,60,2024-10-02,Paid Off
LN-0001688,MBR-000057,Home Equity,123171.2,9.68,60,2023-08-05,Current
LN-0001689,MBR-000507,Credit Card,955.11,4.24,0,2024-08-18,Current
LN-0001690,MBR-000582,Auto Loan,39909.7,4.7,72,2020-09-03,Current
LN-0001691,MBR-000733,Credit Card,10764.16,15.1,0,2021-08-24,Current
LN-0001692,MBR-001073,Auto Loan,51337.84,14.0,60,2018-10-02,Current
LN-0001693,MBR-000131,Auto Loan,49370.2,12.26,72,2019-12-11,Current
LN-0001694,MBR-000330,Auto Loan,48684.16,,48,2019-05-18,Current
LN-0001695,MBR-000252,Auto Loan,63280.84,13.1,36,2021-03-31,Delinquent
LN-0001696,MBR-000860,Personal Loan,20081.65,4.53,36,2019-03-29,Delinquent
LN-0001697,MBR-000608,Personal Loan,14153.35,15.65,12,2019-02-09,Current
LN-0001698,MBR-000821,Personal Loan,19885.85,13.18,48,2022-06-25,Paid Off
LN-0001699,MBR-000516,Personal Loan,10457.17,11.65,24,2018-02-04,Current
LN-0001700,MBR-000893,Personal Loan,22131.13,16.94,12,2023-07-05,Current
LN-0001701,MBR-001084,auto loan,39823.77,10.57,48,2023-04-02,Current
LN-0001702,MBR-000158,Home Equity,89791.42,13.54,120,2024-10-23,Current
LN-0001703,MBR-001078,Personal Loan,17453.71,4.0,48,2023-05-16,Current
LN-0001704,MBR-000077,Auto Loan,53605.72,4.77,48,2018-08-16,Current
LN-0001705,MBR-000490,Auto Loan,9129.64,4.65,36,2023-09-14,Current
LN-0001706,MBR-000663,Personal Loan,12955.66,8.89,36,2021-12-27,Current
LN-0001707,MBR-000844,Mortgage,426468.98,4.56,360,2023-11-14,Current
LN-0001708,MBR-001119,Auto Loan,36595.25,13.83,36,2020-09-16,Current
LN-0001709,MBR-000885,Student Loan,23558.21,17.81,240,2024-06-13,Current
LN-0001710,MBR-000140,Personal Loan,13813.23,5.54,48,2018-07-08,Delinquent
LN-0001711,MBR-000886,Auto Loan,57060.56,17.05,60,2023-04-12,Current
LN-0001712,MBR-001100,Auto Loan,32602.01,15.97,36,2023-06-11,Paid Off
LN-0001713,MBR-000100,Auto Loan,58030.37,5.4,72,2018-11-12,Current
LN-0001714,MBR-000261,Credit Card,3224.15,17.35,0,2019-10-13,Current
LN-0001715,MBR-000155,Mortgage,314547.28,7.05,360,2022-04-17,Current
LN-0001716,MBR-000375,Auto Loan,13349.48,8.38,72,2020-06-08,Current
LN-0001717,MBR-000075,Mortgage,186541.08,6.29,240,2019-06-10,Current
LN-0001718,MBR-000482,Auto Loan,36187.41,8.04,60,2018-09-26,Delinquent
LN-0001719,MBR-001084,Auto Loan,50922.34,8.52,72,2021-02-20,Current
LN-0001720,MBR-000506,Student Loan,43661.85,15.9,240,2024-05-03,Current
LN-0001721,MBR-000620,Student Loan,20165.88,3.85,240,2018-02-19,Current
LN-0001722,MBR-000673,Home Equity,47606.03,16.96,120,2023-04-29,Current
LN-0001723,MBR-000903,Personal Loan,11501.71,9.94,48,2020-07-11,Current
LN-0001724,MBR-000200,Auto Loan,30209.13,9.71,60,2020-10-08,Current
LN-0001725,MBR-000546,Auto Loan,48344.76,15.57,36,2021-11-17,Current
LN-0001726,MBR-000456,Mortgage,290675.79,4.96,240,2024-01-20,Paid Off
LN-0001727,MBR-000590,Credit Card,7360.74,6.62,0,2019-06-24,Current
LN-0001728,MBR-000230,Home Equity,29801.7,17.8,120,2024-09-21,Current
LN-0001729,MBR-000180,Student Loan,65153.09,4.72,240,2019-01-02,Current
LN-0001730,MBR-000802,Credit Card,10963.85,8.22,0,2018-07-07,Current
LN-0001731,MBR-000442,Personal Loan,7962.43,6.55,24,2024-04-26,Delinquent
LN-0001732,MBR-000016,Mortgage,251453.76,3.68,240,2022-06-19,Delinquent
LN-0001733,MBR-001039,Student Loan,74006.33,16.87,180,2023-05-30,Current
LN-0001734,MBR-000763,Auto Loan,8813.09,12.03,36,2022-09-29,Current
LN-0001735,MBR-000869,Mortgage,256062.41,5.01,240,2021-03-07,Current
LN-0001736,MBR-000633,Student Loan,54066.69,7.0,180,2022-09-22,Current
LN-0001737,MBR-000725,Mortgage,439691.17,6.02,360,2021-03-13,Paid Off
LN-0001738,MBR-000412,Personal Loan,12172.95,10.68,36,2018-10-06,Delinquent
LN-0001739,MBR-001024,Personal Loan,17190.86,,36,2024-07-03,Current
LN-0001740,MBR-000469,Home Equity,75439.95,8.06,60,2024-05-21,Default
